X,cntry,gndr,nwspol,netustm,agea,eduyrs,netusoft,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,prtdgcl,lrscale,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,mnrgtjb,freehms,hmsfmlsh,hmsacld,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgdgr,rlgatnd,pray,gvrfgap,rfgfrpc,rfgbfml,elgcoal,elgngas,elghydr,elgnuc,elgsun,elgwind,elgbio,wrenexp,wrdpimp,wrtcfl,clmthgt1,wrclmch,lklmten,gvsrdcc,inctxff,sbsrnen,dfincac,smdfslv,uemplwk,slvpens,slvuemp,gvslvol,gvslvue,sbstrec,sbprvpv,sbeqsoc,sbbsntx,sblazy,sblwcoa,imsclbn,uentrjb,lbenent,bennent,admub,ubpay,ubedu,ubunp,ub50pay,ub50edu,ub50unp,ub20pay,ub20edu,ub20unp,ubsppay,ubspedu,ubspunp,bnlwinc,eduunmp,wrkprbf,basinc,eusclbf,eudcnbf,lkuemp,lknemny,hhmmb,domicil,estsz,wkdcorga,iorgact,hinctnta,hincfel,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
30531,IT,1,NA,180,19,13,5,5,NA,4,3,2,NA,2,NA,8,5,5,2,1,2,NA,NA,NA,5,NA,7,7,6,NA,NA,4,1,5,NA,3,NA,NA,NA,6,NA,10,7,NA,3,NA,5,1,9,NA,7,NA,2,NA,NA,4,1,1,5,NA,5,5,3,NA,NA,2,NA,3,3,3,3,5,2,3,5,3,NA,10,5,3,2,2,3,4,4,5,4,3,5,3,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,3,4,NA,NA,2,4,NA,5,5,NA,NA,NA,NA,NA,4,NA,4,3,6,4,4,3,6,3,3,4,4,6,3,6,5,6,6,5,4
36904,PL,1,60,240,17,10,5,5,4,3,2,3,4,3,3,5,6,7,5,5,4,4,2,7,5,5,5,6,6,5,4,2,5,1,8,3,3,3,4,7,5,7,7,4,4,4,5,1,5,5,6,4,7,4,2,1,2,3,3,3,4,3,2,3,2,3,NA,2,2,6,1,4,5,3,4,3,4,10,8,3,4,4,3,2,2,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,2,3,4,3,5,NA,1,6,2,NA,NA,NA,9,4,5,6,4,6,5,6,3,4,3,6,6,4,5,5,6,5,4,5,3,4,6
27760,IS,2,60,120,67,10,5,2,4,5,3,2,1,1,1,3,3,5,3,3,NA,NA,2,NA,6,NA,NA,8,3,5,2,4,1,4,NA,3,3,3,2,NA,8,10,5,1,3,3,3,2,10,NA,8,2,5,2,NA,4,1,NA,4,1,3,3,NA,4,1,3,NA,3,4,NA,2,2,2,2,NA,4,4,10,9,NA,4,4,NA,NA,2,NA,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,1,2,2,NA,NA,1,1,2,2,1,5,0,4,4,5,2,5,2,5,4,6,5,5,5,5,6,5,6,2,2,5,6,5,6,4
33854,NL,1,70,480,32,19,5,7,7,4,3,2,3,2,2,4,7,5,4,4,4,6,2,8,7,5,5,6,5,2,1,4,2,4,5,2,2,2,1,2,3,7,7,6,4,3,4,1,8,1,3,1,1,1,3,4,2,3,5,1,5,5,5,1,2,2,NA,2,6,6,1,4,2,3,1,2,6,7,2,4,3,4,4,4,4,3,4,3,4,2,NA,NA,NA,4,3,2,NA,NA,NA,NA,NA,NA,3,3,2,3,2,2,1,1,2,5,4,8,5,5,4,5,3,4,3,3,4,4,5,4,4,5,5,5,6,4,5,5,6,3,5,5
29091,IT,2,120,NA,76,10,1,8,5,2,2,2,3,3,2,NA,NA,8,NA,5,NA,NA,NA,7,4,6,6,5,3,4,5,NA,NA,NA,10,3,1,1,0,5,0,5,4,2,4,2,3,1,10,3,NA,NA,NA,2,4,3,1,3,5,1,5,5,5,3,4,2,NA,3,3,1,2,3,4,4,4,4,2,10,10,2,4,4,4,4,4,2,4,4,5,1,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,3,2,1,1,1,1,1,10,10,4,3,5,4,2,5,5,5,2,2,2,6,6,5,4,6,1,5,4,5,6,6,3
14493,FI,2,30,60,39,17,5,7,7,8,3,2,2,2,2,5,8,9,4,4,7,8,NA,5,6,6,8,8,7,4,1,4,2,3,3,NA,NA,NA,5,6,4,9,5,1,2,3,4,1,9,7,2,1,1,2,3,4,2,3,3,2,4,4,4,4,2,3,NA,2,3,4,4,4,2,4,4,4,4,8,7,3,4,4,3,4,2,3,3,3,3,2,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,3,2,3,2,2,1,2,5,5,3,9,2,9,3,3,2,4,4,3,4,4,4,4,4,4,5,2,5,2,4,4,5,5,5,3
22009,IE,1,90,60,55,15,5,8,6,8,3,2,3,4,3,7,6,6,6,6,2,2,NA,8,7,5,6,4,0,4,3,3,2,3,3,1,1,1,2,3,6,5,4,2,2,3,5,1,6,3,6,5,6,4,4,3,4,3,4,3,3,4,3,2,3,3,NA,3,6,5,3,3,4,4,2,2,6,4,5,4,3,3,4,3,4,2,4,4,3,3,NA,NA,NA,NA,NA,NA,3,3,1,NA,NA,NA,3,1,3,3,4,4,3,3,2,1,4,2,2,5,3,4,3,4,4,3,4,3,4,4,5,3,2,4,3,5,3,5,3,2,4,5
7553,CZ,2,120,360,23,17,5,3,4,3,1,3,2,3,2,7,8,5,1,1,8,8,NA,8,7,7,8,8,7,2,1,5,1,4,6,3,3,3,4,7,6,10,6,3,3,3,5,1,9,8,1,2,1,3,2,4,2,2,5,2,5,5,2,2,2,1,NA,3,1,1,5,4,3,3,6,4,0,5,5,5,2,2,4,4,4,2,4,5,2,1,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,2,2,3,3,2,5,3,8,0,6,4,2,6,3,5,5,4,2,5,2,6,6,5,6,3,6,3,4,6,6,4,5
40311,RU,1,10,195,32,17,5,3,2,3,2,3,3,3,2,10,9,6,2,7,3,4,2,5,8,7,5,1,2,2,1,1,5,1,2,2,2,3,3,1,0,4,4,2,2,3,3,1,10,0,5,2,2,2,2,4,2,3,5,3,5,5,2,4,4,3,NA,4,5,7,2,4,1,4,4,3,9,10,0,3,4,2,1,2,3,2,4,3,4,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,NA,NA,2,4,2,3,4,10,10,7,1,4,1,NA,4,5,5,4,6,5,6,5,5,3,6,6,6,6,6,6,6,6
34864,NO,2,180,NA,86,8,1,3,4,4,3,2,1,3,1,2,5,3,4,4,NA,6,2,2,4,2,5,7,5,4,4,4,2,3,NA,3,4,2,5,3,5,6,6,1,4,4,5,1,5,3,6,2,5,4,2,4,1,2,5,1,3,4,2,2,2,2,NA,3,NA,2,4,4,2,4,NA,8,3,8,4,2,2,4,2,2,2,NA,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,3,3,1,NA,NA,1,1,1,2,1,8,0,2,4,2,2,5,2,6,2,6,3,2,3,4,5,2,5,2,6,3,4,3,6,2
